E641302A69B9E60C43327A6A1800BDB4DB67337FFA8AD71C0DB4DC26DB136D34,%SYSTEM32%\SPOOLSS.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
3D6A7B2A4A9E44D5E43B9B0D9C6376FF8AAB549489AA85E0A4939FA38388DC11,%SYSTEM32%\TPVMW32.DLL,O=CORTADO AG, L=BERLIN, S=BERLIN, C=DE
1FFFBAD858D8906F18C88B19759C17CB3BD859E66926AF85284755A9E4791939,%WINDIR%\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\WEBENGINE4.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
6DCF45DC7E0429863D902D21A931270A534E49060E7ABABE67D6A580581EB8F3,%WINDIR%\ASSEMBLY\NATIVEIMAGES_V4.0.30319_64\SYSTEM.WEB\D45E58D7A64F970EECA50B62FA9CC818\SYSTEM.WEB.NI.DLL,
FFCE89D209C62F94CDF2B11F8D43199B41C52F15538619F0A34D51B9ABCBAE5B,%WINDIR%\ASSEMBLY\NATIVEIMAGES_V4.0.30319_64\SYSTEM.CORE\D455D0F606B8366DC3BEBBD11D14C961\SYSTEM.CORE.NI.DLL,
B333838D45AE67C6B361AD06FA9B31F2233FAFE15A91BA57524E40165A30F940,%SYSTEM32%\MSLS31.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
05C55C0D3A52B229C36AF1654F3F7C5E94E80F61CA1F6684F807B3276F56F070,%SYSTEM32%\USP10.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
7C80EE13E71EF5319D1F245C1EE58D7F614F22DCB1F81AF27FC6700A825E63D0,%SYSTEM32%\RICHED20.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
268081B4D35EFF84F6BBFEB769134453511B01BCEF9A45E90321CB6D3F0C477B,%SYSTEM32%\DWRITE.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
2F5BD0E2F469805090398A9FAD27B682A7D68419A4C994C10AB721B55ED2B5C4,%SYSTEM32%\WEVTAPI.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
B9CE90DA304CAB19B254E34CD8D1EE16DCD3D75E99986F58D666B995693BCE92,%SYSTEM32%\WECAPI.DLL,O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US
